country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Mexico,53.4,55.2,56.2,55.8,54.8,55.0,54.8,54.6,53.0,51.7,
Marshall Islands,12.0,14.0,14.9,16.8,16.5,17.2,16.4,16.5,17.9,16.0,16.8
North Macedonia,42.5,41.2,41.2,41.5,40.5,38.2,34.9,35.7,31.8,33.5,36.3
Mali,67.1,55.1,59.8,55.9,50.8,53.5,51.8,52.0,53.5,52.8,53.4
Malta,27.5,30.6,30.4,30.0,31.4,31.3,30.6,33.0,35.1,35.2,34.5
Myanmar,86.6,88.2,84.8,87.7,86.5,91.0,85.6,88.3,89.0,88.7,87.8
Montenegro,30.9,29.5,31.4,27.0,28.1,30.8,31.9,30.8,29.6,28.7,32.8
Mongolia,18.1,15.8,21.4,20.7,14.2,21.1,27.9,34.0,43.4,45.1,44.9
Mozambique,27.6,27.5,24.8,27.2,30.3,25.5,27.2,26.7,28.7,26.9,28.3
Mauritania,33.5,40.1,33.4,36.5,34.9,37.3,37.9,42.1,48.4,47.2,46.9
Mauritius,48.0,48.2,48.5,45.8,45.3,52.3,58.1,63.9,66.1,62.9,58.3
Malawi,54.2,56.2,39.6,27.9,26.9,26.1,31.1,35.7,37.6,34.9,39.8
Malaysia,41.0,39.0,40.2,38.3,43.0,48.0,44.1,45.3,44.8,44.3,44.5
Namibia,31.1,43.7,42.0,42.9,50.5,51.1,56.5,45.6,45.4,45.0,41.6
Niger,56.2,51.4,51.1,53.6,52.8,50.0,47.5,50.4,48.2,49.7,49.1
Nigeria,66.5,68.7,74.4,77.6,67.3,70.8,66.0,60.4,58.8,64.9,62.1
Nicaragua,46.5,46.1,47.6,43.4,44.7,43.5,45.1,45.1,45.1,45.2,
Niue,1.54,0.4,1.4,1.09,0.846,0.95,0.784,0.758,0.741,0.701,0.702
Netherlands,36.9,37.2,37.5,30.8,31.4,31.4,16.2,16.5,16.5,14.3,13.6
Norway,17.4,16.4,16.5,16.2,16.4,16.4,16.2,15.8,15.7,15.9,16.1
Nepal,78.3,71.4,71.8,73.5,70.9,68.6,62.7,66.5,62.9,61.9,65.4
Nauru,18.5,19.3,20.1,25.1,18.8,24.3,22.7,16.6,25.4,31.5,31.5
New Zealand,22.0,23.6,22.1,21.7,20.4,20.3,19.9,17.6,17.2,17.0,16.8
