country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Iceland,4.05,3.86,3.68,3.51,3.35,3.2,3.07,2.94,2.83,2.72,2.62
Israel,6.89,6.63,6.37,6.11,5.85,5.58,5.33,5.1,4.9,4.72,4.56
Italy,5.56,5.3,5.05,4.83,4.63,4.47,4.34,4.23,4.14,4.06,3.97
Jamaica,22.3,21.7,21.2,20.8,20.4,20.1,19.8,19.5,19.2,18.8,18.3
Jordan,27.0,26.3,25.5,24.8,24.1,23.4,22.8,22.1,21.5,20.9,20.3
Japan,4.5,4.3,4.13,3.99,3.86,3.74,3.63,3.52,3.41,3.3,3.2
Kazakhstan,42.8,40.3,37.9,35.6,33.5,31.3,29.1,26.9,24.6,22.4,20.2
Kenya,106.0,101.0,95.8,90.5,85.0,79.3,74.0,69.1,63.9,59.6,56.5
Kyrgyz Republic,49.5,47.1,44.9,42.8,40.9,39.2,37.6,35.8,33.8,31.6,29.6
Cambodia,107.0,97.1,87.2,78.4,71.2,65.3,60.3,55.9,51.8,47.9,44.3
Kiribati,71.4,69.4,68.0,66.8,66.3,66.1,66.2,66.3,66.2,65.6,64.7
St. Kitts and Nevis,23.3,22.0,20.7,19.5,18.4,17.5,16.8,16.1,15.6,15.1,14.7
South Korea,7.48,7.09,6.71,6.33,5.93,5.53,5.15,4.81,4.53,4.31,4.13
Kuwait,12.3,12.1,11.9,11.8,11.6,11.4,11.3,11.1,10.9,10.7,10.4
Lao,107.0,103.0,98.5,94.4,90.4,86.4,82.5,78.7,75.0,71.5,68.1
Lebanon,19.9,18.8,17.6,16.4,15.3,14.1,13.1,12.2,11.4,10.8,10.2
Liberia,187.0,174.0,161.0,149.0,138.0,128.0,120.0,112.0,106.0,101.0,96.7
Libya,28.1,27.3,26.5,25.5,24.4,23.1,21.7,20.2,18.8,17.6,16.6
St. Lucia,18.0,17.9,17.9,18.0,18.1,18.3,18.4,18.6,18.6,18.6,18.6
Liechtenstein,11.5,10.8,10.1,9.47,8.9,8.4,7.99,7.65,7.37,7.15,6.98
Sri Lanka,16.5,16.0,15.5,15.1,29.1,14.2,13.6,12.9,12.4,12.0,11.6
Lesotho,118.0,121.0,122.0,123.0,123.0,122.0,122.0,118.0,116.0,107.0,100.0
Lithuania,10.7,10.3,9.88,9.59,9.32,9.01,8.58,8.04,7.38,6.69,6.04
Luxembourg,4.8,4.56,4.33,4.1,3.88,3.68,3.49,3.33,3.2,3.08,2.99
Latvia,14.2,13.3,12.6,11.9,11.2,10.5,9.84,9.31,8.82,8.34,7.81
