Paraguay,4060,3950,3900,4020,4130,4170,4330,4520,4760,4700,5160
Palestine,2440,2150,1840,2040,2430,2630,2540,2570,2690,2840,2930
French Polynesia,24.2k,23.7k,23.5k,23.7k,23.5k,23.3k,22.5k,22.3k,21.3k,20.4k,19.3k
Qatar,52.2k,51.6k,52.6k,52k,59.6k,58.8k,62k,60.3k,60.5k,60.7k,68.3k
Romania,4570,4870,5250,5410,6010,6330,6870,7480,8310,7920,7660
Russia,5320,5620,5910,6370,6860,7320,7950,8640,9090,8380,8760
Rwanda,337,361,401,401,420,447,476,498,539,558,584
Saudi Arabia,17k,16.4k,15.5k,16.9k,17.8k,18.2k,18k,17.6k,18k,17k,17.3k
Sudan,1910,1970,2040,2110,2160,2210,2290,2340,2360,2220,2240
Senegal,1080,1100,1070,1100,1130,1150,1140,1140,1160,1160,1160
Singapore,34.9k,33.6k,34.6k,36.7k,39.9k,41.8k,44.2k,46.2k,44.6k,43.3k,48.8k
Solomon Islands,1790,1610,1530,1590,1670,1760,1790,1810,1880,1900,2030
Sierra Leone,403,356,426,447,461,469,478,505,519,521,534
El Salvador,2960,2970,3000,3040,3070,3150,3290,3340,3400,3320,3370
San Marino,55.8k,57.8k,56.6k,57.5k,59.1k,59.7k,61.1k,64.5k,63.5k,56.3k,52.3k
Somalia,,,,,,,,,,,
Serbia,3190,3420,3640,3810,4160,4400,4650,4970,5270,5150,5210
South Sudan,,,,,,,,,2290,2300,2300
Sao Tome and Principe,,1070,1080,1140,1150,1190,1270,1280,1330,1330,1390
Suriname,6100,6240,6310,6600,7070,7310,7640,7940,8180,8330,8660
Slovak Republic,8910,9220,9640,10.2k,10.7k,11.4k,12.4k,13.7k,14.5k,13.7k,14.6k
Slovenia,16.2k,16.7k,17.3k,17.8k,18.6k,19.2k,20.3k,21.6k,22.3k,20.4k,20.6k
Sweden,41.1k,41.6k,42.4k,43.2k,44.9k,46k,47.9k,49.1k,48.5k,46k,48.4k
Eswatini,2410,2410,2490,2570,2650,2790,2940,3050,3060,3100,3200
Sint Maarten (Dutch part),,,,,,,,,,32.4k,33.6k
Seychelles,11.2k,10.9k,10.7k,10.2k,9940,10.8k,11.6k,12.7k,12.2k,12k,12.3k
Syria,1270,1250,1270,1330,1380,1430,1440,1420,1430,1490,1540
Turks and Caicos Islands,,,,,,,,,,,
Chad,379,410,429,473,605,682,663,662,659,663,728
Togo,497,488,493,513,495,460,459,440,445,457,472
Thailand,3510,3600,3790,4020,4240,4390,4570,4780,4830,4760,5080
Tajikistan,430,462,501,545,590,618,649,687,728,741,774
Turkmenistan,2260,2330,2300,2350,2430,2710,2970,3250,3670,3840,4120
Timor-Leste,948,1080,994,954,938,943,881,948,1030,1110,1190
Tonga,3510,3620,3770,3830,3720,3700,3680,3670,3840,3630,3650
Trinidad and Tobago,9970,10.3k,11.1k,12.6k,13.5k,14.3k,16.1k,16.8k,17.2k,16.4k,16.8k
Tunisia,2830,2900,2910,3020,3180,3260,3400,3590,3710,3790,3860
Turkey,6450,5990,6290,6570,7110,7650,8070,8380,8340,7840,8390
Tuvalu,3030,3030,3320,3160,3050,2870,2910,3080,3250,3000,2900
Tanzania,552,569,594,617,646,675,699,726,747,767,794
Uganda,509,519,547,565,586,605,651,685,723,750,770
Ukraine,1420,1560,1660,1830,2070,2140,2320,2530,2600,2220,2320
Uruguay,10.2k,9750,8980,9040,9490,10.2k,10.6k,11.3k,12k,12.5k,13.5k
USA,48.7k,48.7k,49.1k,50k,51.5k,52.8k,53.7k,54.3k,53.9k,52k,53k
Uzbekistan,1280,1310,1350,1390,1480,1560,1660,1790,1920,2040,2130
St. Vincent and the Grenadines,5060,5150,5440,5820,6080,6270,6740,7000,7070,7000,6720
Virgin Islands (U.S.),,,43.2k,43k,44.5k,46k,47.7k,49.6k,50.2k,46.9k,47.2k
Vietnam,1180,1240,1310,1390,1470,1570,1660,1770,1850,1930,2030
Vanuatu,2730,2570,2380,2420,2450,2520,2670,2680,2760,2780,2750
Samoa,2910,3100,3250,3410,3500,3720,3790,3780,3890,3840,4050
Yemen,2230,2250,2280,2300,2330,2390,2400,2400,2420,2440,2550
South Africa,4740,4820,4950,5050,5230,5460,5710,5950,6070,5910,6020
Zambia,815,833,844,875,907,941,981,1030,1070,1130,1200
Zimbabwe,1680,1690,1530,1260,1180,1110,1060,1010,825,914,1100
