country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Italy,43.4k,44.2k,44.2k,44.1k,44.4k,44.5k,45.2k,45.6k,44.8k,42.1k,42.7k
Jamaica,9430,9520,9660,9980,10.1k,10.1k,10.4k,10.5k,10.4k,9880,9700
Jordan,9090,9370,9690,9850,10.4k,10.9k,11k,11.2k,11.6k,11.9k,11.9k
Japan,37.6k,37.5k,37.3k,37.7k,38.3k,38.9k,39.3k,39.7k,39k,36.7k,38.1k
Kazakhstan,10.6k,12k,13.2k,14.3k,15.5k,16.8k,18.4k,19.7k,19.9k,19.7k,20.8k
Kenya,3200,3240,3180,3190,3270,3370,3490,3630,3540,3550,3740
Kyrgyz Republic,3250,3370,3320,3490,3670,3600,3660,3910,4180,4230,4140
Cambodia,1580,1670,1730,1830,1970,2180,2360,2540,2650,2600,2710
Kiribati,2150,2070,2100,2090,2010,2050,2010,2000,1910,1880,1820
St. Kitts and Nevis,20.9k,21.6k,21.7k,20.6k,21.2k,23k,23.5k,23.5k,25.8k,24.7k,24.6k
South Korea,24.1k,24.9k,26.5k,27.1k,28.2k,29.2k,30.5k,31.9k,32.5k,32.5k,34.4k
Kuwait,56.8k,55.9k,56.6k,65.1k,70.4k,75.2k,76.6k,76.5k,73.9k,64.8k,59.8k
Lao,2850,2960,3090,3220,3380,3560,3780,4020,4250,4490,4790
Lebanon,12.3k,12.7k,13k,13.4k,14.1k,14.3k,14.3k,15.4k,16.5k,18k,19.2k
Liberia,1670,1700,1760,1210,1210,1220,1250,1300,1340,1370,1420
Libya,24.6k,24.1k,23.7k,26.5k,27.4k,30.1k,31.7k,33.1k,32.7k,30.6k,31.4k
St. Lucia,12.4k,11.9k,12k,12.4k,13.3k,13.2k,14k,14.2k,14.8k,14.3k,14.4k
Sri Lanka,6400,6220,6380,6680,6950,7300,7770,8210,8610,8830,9440
Lesotho,1830,1880,1880,1950,1980,2040,2110,2180,2280,2220,2320
Lithuania,14k,15k,16.2k,18k,19.4k,21.2k,23.1k,25.9k,26.8k,23.1k,23.9k
Luxembourg,94.4k,96.5k,99.1k,101k,104k,106k,111k,119k,117k,112k,114k
Latvia,13.3k,14.3k,15.5k,16.9k,18.4k,20.6k,23.2k,25.6k,25k,21.7k,21.2k
Morocco,4400,4630,4680,4860,5000,5060,5340,5410,5620,5740,5840
Monaco,148k,152k,155k,157k,162k,166k,174k,197k,196k,178k,182k
Moldova,4930,5250,5680,6090,6570,7100,7490,7760,8410,7940,8550
Madagascar,1590,1640,1390,1480,1510,1540,1570,1610,1670,1550,1510
Maldives,13.3k,12.5k,13.2k,14.7k,15.3k,13.1k,16.1k,16.8k,17.8k,15.9k,16.5k
Mexico,17.9k,17.6k,17.4k,17.4k,17.8k,18k,18.5k,18.7k,18.6k,17.4k,18k
Marshall Islands,3280,3470,3570,3500,3530,3590,3590,3720,3440,3570,3770
North Macedonia,10.4k,9990,10.2k,10.4k,10.8k,11.3k,11.8k,12.6k,13.2k,13.1k,13.5k
Mali,1590,1780,1780,1880,1850,1900,1930,1930,1950,1980,2020
Malta,27.6k,27.2k,27.6k,28.5k,28.4k,29.1k,29.7k,31k,32k,31.3k,32.9k
Myanmar,1120,1220,1330,1470,1630,1810,2010,2220,2410,2620,2830
Montenegro,11.7k,12k,12.3k,12.7k,13.3k,13.9k,15.2k,16.3k,17.4k,16.4k,16.8k
Mongolia,4370,4490,4690,5000,5500,5860,6310,6890,7400,7200,7520
Mozambique,650,709,751,779,817,847,902,944,983,1010,1050
Mauritania,3920,3840,3830,4040,4170,4460,5190,5000,4890,4770,4770
Mauritius,13.1k,13.3k,13.3k,13.9k,14.3k,14.4k,14.9k,15.6k,16.3k,16.7k,17.3k
Malawi,1150,1060,1050,1080,1110,1110,1120,1200,1250,1310,1360
Malaysia,16.4k,16.1k,16.5k,17k,17.7k,18.2k,18.8k,19.5k,19.9k,19.2k,20.2k
Namibia,6920,6830,7020,7170,7930,8020,8460,8780,8870,8750,9120
Niger,917,950,962,953,920,952,971,964,1000,981,1020
Nigeria,2970,3070,3450,3620,3860,4000,4120,4270,4430,4640,4860
Nicaragua,3930,4000,3990,4040,4210,4330,4450,4610,4700,4470,4590
Netherlands,48.1k,48.8k,48.6k,48.4k,49.1k,49.9k,51.5k,53.2k,54.1k,51.7k,52k
Norway,59.4k,60.3k,60.8k,60.9k,62.8k,63.8k,64.5k,65.4k,64.5k,62.2k,61.4k
Nepal,2060,2120,2090,2140,2210,2250,2300,2360,2480,2580,2680
Nauru,7070,6540,5850,5820,5530,5300,5680,4450,5440,5910,6540
New Zealand,33.4k,34.2k,35.1k,36k,36.8k,37.5k,38.1k,38.8k,38k,37.5k,37.6k
Oman,36.8k,38.3k,37.7k,36.4k,36.5k,36.8k,38.1k,39.1k,41.5k,43.1k,40.8k
Pakistan,3500,3500,3500,3610,3780,3930,4060,4140,4100,4110,4060
Panama,14.5k,14.3k,14.4k,14.7k,15.6k,16.4k,17.5k,19.2k,20.7k,20.6k,21.5k
Peru,6630,6560,6810,6990,7240,7590,8070,8650,9340,9330,10000
Philippines,4600,4630,4690,4820,5020,5150,5310,5530,5640,5600,5880
Palau,13.8k,14.5k,15k,14.4k,15k,15.6k,15.7k,16.2k,15.4k,14.5k,14.7k
Papua New Guinea,3130,3010,2910,2870,2850,2920,2970,3100,2990,3080,3280
Poland,16.4k,16.6k,16.9k,17.5k,18.4k,19k,20.2k,21.6k,22.4k,23k,23.7k
North Korea,2290,2350,2360,2390,2420,2500,2450,2410,2480,2440,2420
Portugal,30.7k,31k,31.1k,30.7k,31.1k,31.3k,31.7k,32.4k,32.4k,31.3k,31.8k
Paraguay,8530,8380,8420,8690,8950,9050,9400,9820,10.4k,10.3k,11.3k
Palestine,4840,4230,3580,3940,4600,4960,4750,4800,4990,5260,5410
Qatar,76.9k,77.4k,80.1k,79.8k,91.8k,90.6k,95.9k,93.3k,93.3k,93.2k,104k
Romania,11.8k,12.7k,13.8k,14.3k,15.9k,16.8k,18.3k,19.9k,22.2k,21.1k,20.4k
Russia,14.6k,15.4k,16.3k,17.6k,18.9k,20.2k,21.9k,23.8k,25k,23k,24k
Rwanda,914,967,1060,1050,1090,1160,1220,1270,1370,1410,1470
Saudi Arabia,39.1k,38.1k,36.4k,39.8k,42.2k,43.4k,43k,42.2k,43.1k,40.5k,41.1k
Sudan,3820,3990,4150,4330,4460,4610,4800,4940,4990,4710,4750
Senegal,2640,2680,2620,2700,2750,2800,2790,2790,2820,2810,2830
Singapore,55.4k,53.5k,55.1k,58.3k,63.4k,66.6k,70.5k,73.9k,71.5k,69.5k,78.1k
Solomon Islands,2180,1950,1850,1920,2010,2100,2140,2170,2250,2250,2410
Sierra Leone,1070,974,1160,1210,1240,1260,1280,1340,1380,1370,1400
El Salvador,6630,6670,6750,6830,6870,7040,7330,7440,7540,7320,7410
San Marino,79.5k,82k,80.1k,81.1k,82.9k,83.3k,84.8k,89.2k,87.4k,77k,71.2k
Somalia,845,846,851,857,861,864,863,863,863,864,862
Serbia,8830,9470,10.1k,10.6k,11.6k,12.3k,13k,13.9k,14.7k,14.4k,14.5k
South Sudan,1850,1870,1900,1920,1950,1970,1990,2000,2020,2040,2050
Sao Tome and Principe,2610,2620,2640,2780,2800,2900,3080,3100,3210,3200,3320
Suriname,13k,13.3k,13.4k,14k,15k,15.5k,16.2k,16.8k,17.3k,17.6k,18.3k
Slovak Republic,16.1k,16.6k,17.3k,18.2k,19.1k,20.3k,22k,24.3k,25.5k,24k,25.6k
Slovenia,26.8k,27.5k,28.4k,29.1k,30.3k,31.4k,33k,35.1k,36.2k,33.1k,33.4k
Sweden,41.5k,41.9k,42.7k,43.4k,45k,46k,47.8k,49k,48.2k,45.6k,47.8k
Eswatini,5620,5610,5780,5950,6110,6420,6740,6970,6970,7020,7220
Seychelles,19.4k,19k,18.7k,17.8k,17.3k,18.8k,20.2k,22.1k,21.1k,20.8k,21.3k
Syria,10k,10.1k,10.7k,10.5k,10.9k,11.2k,11.4k,11.5k,11.6k,12k,12.4k
Chad,920,994,1040,1150,1470,1640,1590,1600,1590,1590,1740
Togo,1660,1630,1640,1710,1660,1550,1550,1490,1500,1540,1590
Thailand,10.2k,10.4k,10.9k,11.6k,12.1k,12.5k,12.9k,13.5k,13.6k,13.3k,14.2k
Tajikistan,1430,1520,1630,1760,1890,1960,2050,2150,2260,2280,2360
Turkmenistan,4730,4940,4950,5080,5260,5800,6280,6800,7600,7840,8320
Timor-Leste,2550,2860,2600,2470,2520,2540,2380,2490,2650,2780,2910
Tonga,5010,5140,5330,5400,5230,5190,5130,5090,5290,4990,5000
Trinidad and Tobago,17.4k,17.9k,19k,21.5k,22.9k,24k,26.9k,27.8k,28.4k,26.8k,27.3k
Tunisia,8020,8220,8210,8480,8880,9070,9410,9900,10.2k,10.3k,10.5k
Turkey,15.4k,14.3k,15k,15.6k,16.9k,18.2k,19.2k,19.9k,19.8k,18.5k,19.8k
Tuvalu,3580,3580,3900,3700,3570,3350,3380,3570,3760,3470,3330
Taiwan,29.1k,28.4k,29.7k,30.7k,32.5k,34k,35.6k,37.8k,37.8k,37k,40.5k
Tanzania,1400,1450,1510,1570,1640,1710,1760,1830,1870,1910,1970
Uganda,1290,1320,1380,1420,1460,1510,1610,1690,1780,1840,1880
Ukraine,7450,8220,8760,9690,10.9k,11.4k,12.3k,13.4k,13.8k,11.7k,12.2k
Uruguay,15.1k,14.4k,13.2k,13.3k,13.9k,14.8k,15.4k,16.3k,17.4k,18k,19.3k
USA,51.9k,51.7k,51.9k,52.8k,54.1k,55.3k,56.1k,56.5k,55.8k,53.7k,54.5k
Uzbekistan,3320,3370,3420,3480,3650,3810,4000,4280,4540,4780,4950
St. Vincent and the Grenadines,8970,9110,9600,10.2k,10.7k,11k,11.8k,12.2k,12.3k,12.1k,11.6k
Venezuela,16.5k,16.8k,15k,13.6k,15.8k,17.1k,18.4k,19.7k,20.3k,19.3k,18.7k
Vietnam,3710,3900,4100,4340,4610,4910,5190,5510,5760,6010,6320
Vanuatu,3080,2890,2660,2690,2720,2780,2930,2940,3020,3020,2970
Samoa,4400,4660,4860,5060,5180,5470,5540,5520,5640,5540,5810
Yemen,4100,4110,4130,4140,4160,4240,4230,4230,4240,4260,4440
South Africa,10.6k,10.8k,11.1k,11.4k,11.8k,12.3k,12.8k,13.4k,13.6k,13.3k,13.5k
Zambia,2080,2140,2170,2260,2350,2440,2550,2660,2770,2910,3080
Zimbabwe,2790,2810,2540,2100,1960,1830,1750,1670,1360,1500,1800
