country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
St. Lucia,233.0,246.0,251.0,242.0,265.0,273.0,332.0,335.0,411.0,502.0,486.0
Sri Lanka,49.1,46.7,46.7,49.8,63.4,66.8,76.4,77.3,71.8,68.9,66.4
Lesotho,34.8,45.8,40.8,45.1,44.9,40.0,54.0,77.1,89.1,104.0,130.0
Lithuania,390.0,437.0,509.0,596.0,500.0,565.0,695.0,830.0,941.0,949.0,955.0
Luxembourg,3410.0,3360.0,4070.0,3920.0,4520.0,4610.0,5180.0,5070.0,5110.0,5540.0,5690.0
Latvia,261.0,278.0,320.0,344.0,432.0,472.0,650.0,727.0,742.0,657.0,668.0
Morocco,32.1,40.5,40.6,44.2,48.3,51.0,67.2,77.1,83.9,93.4,93.4
Monaco,2460.0,2600.0,2700.0,3270.0,3540.0,3690.0,3810.0,3940.0,4780.0,5220.0,5240.0
Moldova,47.4,51.3,70.9,76.0,88.7,98.6,121.0,134.0,162.0,173.0,165.0
Madagascar,19.8,22.3,18.7,17.8,19.7,21.3,24.2,26.6,31.9,26.2,21.9
Maldives,127.0,126.0,131.0,168.0,205.0,274.0,325.0,334.0,431.0,277.0,281.0
Mexico,237.0,247.0,256.0,278.0,311.0,329.0,351.0,382.0,418.0,445.0,
Marshall Islands,293.0,261.0,256.0,236.0,260.0,257.0,284.0,310.0,279.0,329.0,314.0
North Macedonia,299.0,292.0,332.0,350.0,365.0,394.0,447.0,419.0,507.0,508.0,504.0
Mali,15.3,24.7,18.6,21.8,26.3,25.6,27.6,27.1,26.1,26.8,25.9
Malta,904.0,916.0,1090.0,1150.0,1210.0,1350.0,1430.0,1360.0,1360.0,1390.0,1480.0
Myanmar,1.9,1.85,3.09,2.77,3.54,2.55,4.59,4.06,4.45,4.03,4.19
Montenegro,328.0,390.0,400.0,475.0,477.0,497.0,579.0,665.0,772.0,866.0,776.0
Mongolia,73.6,78.1,81.4,79.0,85.9,76.0,81.0,106.0,125.0,119.0,120.0
Mozambique,19.3,19.8,24.2,23.3,21.6,28.8,29.0,27.8,24.5,34.6,34.9
Mauritania,48.4,36.7,49.3,44.4,53.2,47.9,44.3,49.0,48.6,41.6,42.0
Mauritius,159.0,168.0,187.0,197.0,228.0,223.0,227.0,217.0,221.0,265.0,335.0
Malawi,16.4,12.4,16.4,27.1,35.8,39.1,43.2,36.8,36.2,42.2,39.3
Malaysia,166.0,198.0,207.0,261.0,241.0,214.0,271.0,277.0,294.0,350.0,356.0
Namibia,168.0,140.0,151.0,164.0,160.0,186.0,177.0,227.0,232.0,246.0,254.0
Niger,7.46,9.74,10.3,9.55,10.2,18.0,20.4,17.6,19.2,18.5,18.8
Nigeria,20.1,20.2,13.5,25.1,37.5,33.7,36.3,47.5,50.2,47.7,46.0
Nicaragua,70.8,72.3,77.2,92.2,96.5,105.0,112.0,131.0,138.0,139.0,
Niue,802.0,4130.0,1250.0,1570.0,2000.0,2020.0,2560.0,2780.0,3020.0,3260.0,3550.0
Netherlands,1480.0,1610.0,1770.0,1900.0,1980.0,2090.0,2800.0,2970.0,3180.0,3860.0,3990.0
Norway,2510.0,2730.0,3030.0,3210.0,3410.0,3590.0,3860.0,4110.0,4410.0,4500.0,4550.0
Nepal,9.06,12.6,12.9,12.4,15.8,18.1,21.7,18.8,24.4,25.5,21.8
Nauru,407.0,407.0,403.0,394.0,270.0,287.0,219.0,326.0,290.0,176.0,181.0
New Zealand,1250.0,1300.0,1430.0,1440.0,1570.0,1690.0,1910.0,2010.0,2230.0,2410.0,2510.0
Oman,537.0,580.0,626.0,626.0,607.0,563.0,529.0,600.0,479.0,651.0,479.0
Pakistan,10.5,9.68,14.4,12.0,13.7,15.0,18.8,19.7,21.4,19.8,22.6
Panama,381.0,377.0,411.0,391.0,479.0,477.0,477.0,495.0,640.0,788.0,844.0
Peru,135.0,135.0,145.0,145.0,150.0,169.0,179.0,232.0,310.0,269.0,260.0
Philippines,36.5,32.6,28.4,34.9,36.9,41.8,39.8,41.5,39.8,46.6,50.3
Palau,946.0,950.0,932.0,959.0,1120.0,1080.0,1160.0,1210.0,1090.0,1120.0,1090.0
Papua New Guinea,56.3,64.6,61.8,56.8,67.3,57.0,50.9,48.5,54.5,60.0,62.8
Poland,409.0,461.0,521.0,523.0,554.0,594.0,653.0,764.0,914.0,1010.0,1070.0
Portugal,1090.0,1130.0,1210.0,1290.0,1340.0,1480.0,1520.0,1590.0,1630.0,1830.0,1920.0
Paraguay,126.0,109.0,98.3,84.4,86.4,95.9,111.0,110.0,116.0,115.0,110.0
Qatar,1040.0,1310.0,1470.0,2540.0,2510.0,2090.0,1830.0,1570.0,1240.0,1540.0,1260.0
Romania,201.0,227.0,266.0,347.0,360.0,418.0,453.0,551.0,668.0,646.0,634.0
Russia,221.0,245.0,283.0,304.0,316.0,381.0,500.0,575.0,625.0,661.0,620.0
Rwanda,9.69,13.3,15.2,23.4,25.3,31.0,46.2,43.4,47.7,53.8,60.6
Saudi Arabia,550.0,585.0,544.0,539.0,513.0,526.0,588.0,583.0,461.0,602.0,608.0
Sudan,11.4,12.8,13.9,16.8,19.7,22.1,29.1,40.0,48.7,43.9,42.2
Senegal,21.6,23.7,27.4,31.1,33.7,50.1,57.5,58.2,58.7,57.7,60.3
Singapore,422.0,417.0,379.0,503.0,426.0,466.0,483.0,503.0,610.0,762.0,825.0
Solomon Islands,86.2,113.0,103.0,105.0,102.0,160.0,139.0,134.0,137.0,213.0,212.0
Sierra Leone,7.78,9.34,11.7,13.0,8.78,11.8,10.4,6.86,10.2,11.5,12.2
El Salvador,166.0,169.0,177.0,178.0,191.0,214.0,250.0,240.0,242.0,265.0,278.0
San Marino,2120.0,2200.0,2850.0,2240.0,2450.0,2490.0,2520.0,2630.0,2550.0,2420.0,2440.0
Somalia,7.56,7.68,,,,,,,,,
Serbia,302.0,327.0,429.0,433.0,463.0,509.0,560.0,643.0,738.0,719.0,723.0
Sao Tome and Principe,116.0,36.9,39.5,73.6,68.6,82.2,62.0,59.7,58.5,57.9,54.4
Suriname,171.0,180.0,173.0,175.0,190.0,213.0,254.0,251.0,230.0,289.0,250.0
Slovak Republic,540.0,593.0,650.0,699.0,780.0,848.0,922.0,1080.0,1260.0,1370.0,1360.0
